Title,Image URL,Rating,Price,Ad/Organic
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",https://m.media-amazon.com/images/I/71FXHAM+jWL._AC_UY218_.jpg,4.0 out of 5 stars,"37,990",Organic
"HP 15, 13th Gen Intel Core i5-1334U, (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0577TU, Iris Xe, FHD Camera w/Shutter Laptop",https://m.media-amazon.com/images/I/71Z4mSII9BL._AC_UY218_.jpg,3.7 out of 5 stars,"52,490",Organic
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",https://m.media-amazon.com/images/I/71FXHAM+jWL._AC_UY218_.jpg,4.0 out of 5 stars,"37,990",Organic
"acer Aspire Lite, AMD Ryzen 3 5300U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop",https://m.media-amazon.com/images/I/513p8BwV-RL._AC_UY218_.jpg,3.9 out of 5 stars,"29,790",Organic
HP Ultra7-155U / 16GB (1x16GB) DDR5 RAM/512 GB SSD/Windows 11 Pro/5MP Camera / 16.0 inch AG WUXGA/Wi-Fi 6E Bluetooth 5.3 /Fingerprint Reader/1 Year Warranty,https://m.media-amazon.com/images/I/61WklbqehuL._AC_UY218_.jpg,N/A,"1,31,568",Organic
"HP 255 G10 Laptop for Home or Work, 16GB RAM, 512GB SSD, 15.6"" Full HD, Ryzen 3 7330U (Beats Intel i5-1135G7), HDMI, USB-C, Windows 11 Pro, Business and Fun Ready",https://m.media-amazon.com/images/I/61LnBcuQfpL._AC_UY218_.jpg,4.6 out of 5 stars,"33,950",Organic
"HP Smartchoice Victus, 13th Gen Intel Core i5-13420H, 4GB RTX 3050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, 300nits, FHD, 15.6’’/39.6cm, Win11, Office24, Blue, 2.29kg, fa2190/fa2191tx Gaming Laptop",https://m.media-amazon.com/images/I/71wT57gW0hL._AC_UY218_.jpg,3.8 out of 5 stars,"66,990",Organic
"Acer Aspire Lite, Intel Core i5 13th Gen - 1334U, 16GB RAM, 512GB SSD, Full HD 15.6""/39.62 cm, Windows 11 Home, MS Office, Steel Gray, 1.59 KG, AL15-53, Metal Body, Thin and Light Premium Laptop",https://m.media-amazon.com/images/I/61yC4DN4asL._AC_UY218_.jpg,3.8 out of 5 stars,"42,560",Organic
"Certified Thinkpad L490 Business Laptop, IntelCore i5 8th Generation 14-inch Display, Black, 16GB Ram, 512GB SSD, Win 11 OS",https://m.media-amazon.com/images/I/612GlIWjnrL._AC_UY218_.jpg,N/A,"24,990",Organic
"BrowseBook 14.1"" FHD IPS Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB RAM | 128GB SSD | Windows 11 | 38Wh | 1.3kg | Grey",https://m.media-amazon.com/images/I/71h+7L8gcrL._AC_UY218_.jpg,3.2 out of 5 stars,"12,990",Organic
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3""(38.8cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Win 11/Office Home 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg), 83K100CGIN",https://m.media-amazon.com/images/I/71Q6JmLZE7L._AC_UY218_.jpg,4.0 out of 5 stars,"55,650",Organic
"Lenovo IdeaPad Slim 5 Intel Core Ultra 7 155H Built-in AI 16"" (40.64cm) WUXGA-IPS 300Nits Thin & Light Laptop (16GB/1TB SSD/Win 11/100% sRGB/MSO/1Yr ADP Free/3 Month Game Pass/Grey/1.8Kg), 83DC008VIN",https://m.media-amazon.com/images/I/71K-+2CT4uL._AC_UY218_.jpg,3.9 out of 5 stars,"86,990",Organic
